task,set_pair,same_set,n_pairs,mean_distance,median_distance
vision,AA,True,15,1.1994343435210457,1.2162266796858732
vision,AB,False,36,0.9999503697160824,0.9894294169098306
vision,AC,False,36,0.9999946194977422,1.0072631997797057
vision,BB,True,15,1.1979211142287634,1.217907346263799
vision,BC,False,36,1.0003563804689857,0.9951814017698773
vision,CC,True,15,1.1977955489765044,1.1830954002673928
imagery,AA,True,15,1.1991828507788802,1.1950114973059944
imagery,AB,False,36,1.0001079340282333,0.9995365516277239
imagery,AC,False,36,1.0000695407897586,0.9843758480836571
imagery,BB,True,15,1.1993022903559953,1.1899046627132224
imagery,BC,False,36,0.9999356744138712,0.9913589390541314
imagery,CC,True,15,1.1988934382080898,1.2170036243288376
