stimulus_set,task,split_half_rho
A,vision,0.5071428571428571
A,imagery,0.09999999999999999
B,vision,-0.049999999999999996
B,imagery,0.42857142857142855
C,vision,-0.0035714285714285704
C,imagery,-0.18214285714285713
