method,subject,task,stimulus_set,target_number,sample,region,brain_correlation,n_voxels
GroundTruth_GNet,subj05,imagery,A,1,1,early_visual,0.24934530995973725,3661
GroundTruth_GNet,subj05,imagery,A,2,1,early_visual,-0.07093612875063197,3661
GroundTruth_GNet,subj05,imagery,A,3,1,early_visual,0.21282964109338245,3661
GroundTruth_GNet,subj05,imagery,A,4,1,early_visual,0.0675592191827678,3661
GroundTruth_GNet,subj05,imagery,A,5,1,early_visual,0.04291954415289647,3661
GroundTruth_GNet,subj05,imagery,A,6,1,early_visual,-0.15424957558963773,3661
GroundTruth_GNet,subj05,imagery,B,1,1,early_visual,0.23295130227277172,3661
GroundTruth_GNet,subj05,imagery,B,2,1,early_visual,0.1543616087178786,3661
GroundTruth_GNet,subj05,imagery,B,3,1,early_visual,0.023282976667903382,3661
GroundTruth_GNet,subj05,imagery,B,4,1,early_visual,0.16185932013168025,3661
GroundTruth_GNet,subj05,imagery,B,5,1,early_visual,0.139278742616436,3661
GroundTruth_GNet,subj05,imagery,B,6,1,early_visual,-0.05576422360930355,3661
GroundTruth_GNet,subj05,imagery,A,1,1,higher_visual,0.03691166923904705,9378
GroundTruth_GNet,subj05,imagery,A,2,1,higher_visual,0.006817845225590959,9378
GroundTruth_GNet,subj05,imagery,A,3,1,higher_visual,0.09795349473664403,9378
GroundTruth_GNet,subj05,imagery,A,4,1,higher_visual,0.09044032153974182,9378
GroundTruth_GNet,subj05,imagery,A,5,1,higher_visual,-0.05164942070554112,9378
GroundTruth_GNet,subj05,imagery,A,6,1,higher_visual,0.02378795328930802,9378
GroundTruth_GNet,subj05,imagery,B,1,1,higher_visual,0.18174538413614766,9378
GroundTruth_GNet,subj05,imagery,B,2,1,higher_visual,-0.009145780656837814,9378
GroundTruth_GNet,subj05,imagery,B,3,1,higher_visual,0.03480734741380236,9378
GroundTruth_GNet,subj05,imagery,B,4,1,higher_visual,0.19913353893786964,9378
GroundTruth_GNet,subj05,imagery,B,5,1,higher_visual,0.11653027424144452,9378
GroundTruth_GNet,subj05,imagery,B,6,1,higher_visual,-0.0014300969734868012,9378
GroundTruth_GNet,subj05,imagery,A,1,1,visual_cortex,0.1086464604007933,13039
GroundTruth_GNet,subj05,imagery,A,2,1,visual_cortex,-0.05321196880567653,13039
GroundTruth_GNet,subj05,imagery,A,3,1,visual_cortex,0.23613319781039557,13039
GroundTruth_GNet,subj05,imagery,A,4,1,visual_cortex,0.08281381349942149,13039
GroundTruth_GNet,subj05,imagery,A,5,1,visual_cortex,-0.04253787882622881,13039
GroundTruth_GNet,subj05,imagery,A,6,1,visual_cortex,-0.10584355837880993,13039
GroundTruth_GNet,subj05,imagery,B,1,1,visual_cortex,0.20548354753437026,13039
GroundTruth_GNet,subj05,imagery,B,2,1,visual_cortex,0.018146700666909165,13039
GroundTruth_GNet,subj05,imagery,B,3,1,visual_cortex,0.03155436995536374,13039
GroundTruth_GNet,subj05,imagery,B,4,1,visual_cortex,0.19066744891555454,13039
GroundTruth_GNet,subj05,imagery,B,5,1,visual_cortex,0.11594352501607656,13039
GroundTruth_GNet,subj05,imagery,B,6,1,visual_cortex,-0.029526462252191667,13039
