method,subject,task,stimulus_set,target_number,sample,region,brain_correlation,n_voxels
GroundTruth_GNet,subj07,vision,A,1,1,early_visual,0.37577667725187824,3251
GroundTruth_GNet,subj07,vision,A,2,1,early_visual,0.5886461600796319,3251
GroundTruth_GNet,subj07,vision,A,3,1,early_visual,0.3784257217116414,3251
GroundTruth_GNet,subj07,vision,A,4,1,early_visual,0.1236713117193134,3251
GroundTruth_GNet,subj07,vision,A,5,1,early_visual,0.1064981387845173,3251
GroundTruth_GNet,subj07,vision,A,6,1,early_visual,-0.008575921204258596,3251
GroundTruth_GNet,subj07,vision,B,1,1,early_visual,0.46225652896736874,3251
GroundTruth_GNet,subj07,vision,B,2,1,early_visual,0.39524452517446756,3251
GroundTruth_GNet,subj07,vision,B,3,1,early_visual,0.21536368222049165,3251
GroundTruth_GNet,subj07,vision,B,4,1,early_visual,0.2625787361792696,3251
GroundTruth_GNet,subj07,vision,B,5,1,early_visual,0.3039986011534917,3251
GroundTruth_GNet,subj07,vision,B,6,1,early_visual,0.5831993199723177,3251
GroundTruth_GNet,subj07,vision,A,1,1,higher_visual,0.22851601725874868,9431
GroundTruth_GNet,subj07,vision,A,2,1,higher_visual,0.1952359996208407,9431
GroundTruth_GNet,subj07,vision,A,3,1,higher_visual,0.07444850134998068,9431
GroundTruth_GNet,subj07,vision,A,4,1,higher_visual,0.0710587345105794,9431
GroundTruth_GNet,subj07,vision,A,5,1,higher_visual,0.031624266350161016,9431
GroundTruth_GNet,subj07,vision,A,6,1,higher_visual,-0.18317497157533325,9431
GroundTruth_GNet,subj07,vision,B,1,1,higher_visual,0.37474905065534053,9431
GroundTruth_GNet,subj07,vision,B,2,1,higher_visual,0.2065032217967688,9431
GroundTruth_GNet,subj07,vision,B,3,1,higher_visual,0.06510746897979038,9431
GroundTruth_GNet,subj07,vision,B,4,1,higher_visual,0.31284146948653707,9431
GroundTruth_GNet,subj07,vision,B,5,1,higher_visual,0.30544176884481206,9431
GroundTruth_GNet,subj07,vision,B,6,1,higher_visual,0.25123766780014467,9431
GroundTruth_GNet,subj07,vision,A,1,1,visual_cortex,0.29496085300356206,12682
GroundTruth_GNet,subj07,vision,A,2,1,visual_cortex,0.4364030920435631,12682
GroundTruth_GNet,subj07,vision,A,3,1,visual_cortex,0.2199406752431024,12682
GroundTruth_GNet,subj07,vision,A,4,1,visual_cortex,0.011268886348876302,12682
GroundTruth_GNet,subj07,vision,A,5,1,visual_cortex,0.10614677527341046,12682
GroundTruth_GNet,subj07,vision,A,6,1,visual_cortex,-0.276879308678289,12682
GroundTruth_GNet,subj07,vision,B,1,1,visual_cortex,0.4178567843289448,12682
GroundTruth_GNet,subj07,vision,B,2,1,visual_cortex,0.29884799001638196,12682
GroundTruth_GNet,subj07,vision,B,3,1,visual_cortex,0.12727925236994217,12682
GroundTruth_GNet,subj07,vision,B,4,1,visual_cortex,0.29714811942584424,12682
GroundTruth_GNet,subj07,vision,B,5,1,visual_cortex,0.30382002766165783,12682
GroundTruth_GNet,subj07,vision,B,6,1,visual_cortex,0.41929295619387935,12682
