method,subject,task,region,brain_correlation,sd_across_target_samples,n_target_samples,n_voxels
GroundTruth_GNet,subj07,imagery,early_visual,0.04288307697539926,0.1562458909073049,12,3251
GroundTruth_GNet,subj07,imagery,higher_visual,0.03243983319811413,0.12058286020132218,12,9431
GroundTruth_GNet,subj07,imagery,visual_cortex,0.03548232482570217,0.16845044833582815,12,12682
