method,subject,task,stimulus_set,target_number,sample,region,brain_correlation,n_voxels
GroundTruth_GNet,subj01,vision,A,1,1,early_visual,0.4704443287961794,4657
GroundTruth_GNet,subj01,vision,A,2,1,early_visual,0.38479650445887165,4657
GroundTruth_GNet,subj01,vision,A,3,1,early_visual,0.594667053353471,4657
GroundTruth_GNet,subj01,vision,A,4,1,early_visual,0.39970438144261805,4657
GroundTruth_GNet,subj01,vision,A,5,1,early_visual,0.022494767481641743,4657
GroundTruth_GNet,subj01,vision,A,6,1,early_visual,0.32309893943991047,4657
GroundTruth_GNet,subj01,vision,B,1,1,early_visual,0.6225537732983035,4657
GroundTruth_GNet,subj01,vision,B,2,1,early_visual,0.6202670985818876,4657
GroundTruth_GNet,subj01,vision,B,3,1,early_visual,0.4427536816086962,4657
GroundTruth_GNet,subj01,vision,B,4,1,early_visual,0.48992697046578854,4657
GroundTruth_GNet,subj01,vision,B,5,1,early_visual,0.5325274086720024,4657
GroundTruth_GNet,subj01,vision,B,6,1,early_visual,0.4735256176452259,4657
GroundTruth_GNet,subj01,vision,A,1,1,higher_visual,0.2052156098977831,11067
GroundTruth_GNet,subj01,vision,A,2,1,higher_visual,0.1236861653333443,11067
GroundTruth_GNet,subj01,vision,A,3,1,higher_visual,0.18760961100325046,11067
GroundTruth_GNet,subj01,vision,A,4,1,higher_visual,0.002162972233976028,11067
GroundTruth_GNet,subj01,vision,A,5,1,higher_visual,0.036374150113274106,11067
GroundTruth_GNet,subj01,vision,A,6,1,higher_visual,0.040229922534784586,11067
GroundTruth_GNet,subj01,vision,B,1,1,higher_visual,0.4822549119091957,11067
GroundTruth_GNet,subj01,vision,B,2,1,higher_visual,0.3649154410616386,11067
GroundTruth_GNet,subj01,vision,B,3,1,higher_visual,0.20622044380263715,11067
GroundTruth_GNet,subj01,vision,B,4,1,higher_visual,0.4217376999112552,11067
GroundTruth_GNet,subj01,vision,B,5,1,higher_visual,0.3233798122086898,11067
GroundTruth_GNet,subj01,vision,B,6,1,higher_visual,0.2435122652681392,11067
GroundTruth_GNet,subj01,vision,A,1,1,visual_cortex,0.29032557714642576,15724
GroundTruth_GNet,subj01,vision,A,2,1,visual_cortex,0.2535199746351194,15724
GroundTruth_GNet,subj01,vision,A,3,1,visual_cortex,0.3699849485057315,15724
GroundTruth_GNet,subj01,vision,A,4,1,visual_cortex,0.20807472567189234,15724
GroundTruth_GNet,subj01,vision,A,5,1,visual_cortex,-0.0217444085868966,15724
GroundTruth_GNet,subj01,vision,A,6,1,visual_cortex,0.12797172169929777,15724
GroundTruth_GNet,subj01,vision,B,1,1,visual_cortex,0.5535615051935961,15724
GroundTruth_GNet,subj01,vision,B,2,1,visual_cortex,0.4730642107447476,15724
GroundTruth_GNet,subj01,vision,B,3,1,visual_cortex,0.3131648652871192,15724
GroundTruth_GNet,subj01,vision,B,4,1,visual_cortex,0.43324100979238295,15724
GroundTruth_GNet,subj01,vision,B,5,1,visual_cortex,0.3989223942515392,15724
GroundTruth_GNet,subj01,vision,B,6,1,visual_cortex,0.3855107569298391,15724
