method,subject,task,stimulus_set,target_number,sample,region,brain_correlation,n_voxels
GroundTruth_GNet,subj02,vision,A,1,1,early_visual,0.5042007156591862,3757
GroundTruth_GNet,subj02,vision,A,2,1,early_visual,0.38245200251706096,3757
GroundTruth_GNet,subj02,vision,A,3,1,early_visual,0.5705388300956793,3757
GroundTruth_GNet,subj02,vision,A,4,1,early_visual,0.48016361859699686,3757
GroundTruth_GNet,subj02,vision,A,5,1,early_visual,0.06090770812600746,3757
GroundTruth_GNet,subj02,vision,A,6,1,early_visual,0.1778913429405544,3757
GroundTruth_GNet,subj02,vision,B,1,1,early_visual,0.5965821233305962,3757
GroundTruth_GNet,subj02,vision,B,2,1,early_visual,0.5570801302038988,3757
GroundTruth_GNet,subj02,vision,B,3,1,early_visual,0.30126447990832855,3757
GroundTruth_GNet,subj02,vision,B,4,1,early_visual,0.43559768632052964,3757
GroundTruth_GNet,subj02,vision,B,5,1,early_visual,0.6331319946647136,3757
GroundTruth_GNet,subj02,vision,B,6,1,early_visual,0.5002798653911325,3757
GroundTruth_GNet,subj02,vision,A,1,1,higher_visual,0.2732497863921411,10521
GroundTruth_GNet,subj02,vision,A,2,1,higher_visual,0.10103451740564763,10521
GroundTruth_GNet,subj02,vision,A,3,1,higher_visual,0.19131100943833038,10521
GroundTruth_GNet,subj02,vision,A,4,1,higher_visual,0.24461017993981865,10521
GroundTruth_GNet,subj02,vision,A,5,1,higher_visual,-0.0008180711501873445,10521
GroundTruth_GNet,subj02,vision,A,6,1,higher_visual,0.03476778607569897,10521
GroundTruth_GNet,subj02,vision,B,1,1,higher_visual,0.5174184013402454,10521
GroundTruth_GNet,subj02,vision,B,2,1,higher_visual,0.3601766772709217,10521
GroundTruth_GNet,subj02,vision,B,3,1,higher_visual,0.23919961897564299,10521
GroundTruth_GNet,subj02,vision,B,4,1,higher_visual,0.5152955270389097,10521
GroundTruth_GNet,subj02,vision,B,5,1,higher_visual,0.4816402532941942,10521
GroundTruth_GNet,subj02,vision,B,6,1,higher_visual,0.198362707271963,10521
GroundTruth_GNet,subj02,vision,A,1,1,visual_cortex,0.38887500474084735,14278
GroundTruth_GNet,subj02,vision,A,2,1,visual_cortex,0.27138112868440756,14278
GroundTruth_GNet,subj02,vision,A,3,1,visual_cortex,0.35412148245549985,14278
GroundTruth_GNet,subj02,vision,A,4,1,visual_cortex,0.3209723908236503,14278
GroundTruth_GNet,subj02,vision,A,5,1,visual_cortex,-0.05828136690272243,14278
GroundTruth_GNet,subj02,vision,A,6,1,visual_cortex,0.06615576364796107,14278
GroundTruth_GNet,subj02,vision,B,1,1,visual_cortex,0.5520805340455996,14278
GroundTruth_GNet,subj02,vision,B,2,1,visual_cortex,0.44562782088141084,14278
GroundTruth_GNet,subj02,vision,B,3,1,visual_cortex,0.25870837653515866,14278
GroundTruth_GNet,subj02,vision,B,4,1,visual_cortex,0.48048676208835983,14278
GroundTruth_GNet,subj02,vision,B,5,1,visual_cortex,0.537532312666703,14278
GroundTruth_GNet,subj02,vision,B,6,1,visual_cortex,0.3373127361405462,14278
