subject,phase,stimulus_set,source_vision_roi,target_imagery_roi,standard_rho,crossvalidated_rho,subject_p_greater,leave_target_min,leave_target_median,leave_target_max
1,pilot,A,early,early,-0.11785714285714285,-0.16428571428571426,0.6416666666666667,-0.4545454545454545,-0.02424242424242424,0.04242424242424241
1,pilot,A,early,ventral,0.17142857142857143,-0.049999999999999996,0.3388888888888889,-0.006060606060606061,0.054545454545454536,0.49090909090909085
1,pilot,A,early,lateral,-0.15714285714285714,0.021428571428571425,0.6805555555555556,-0.34545454545454546,-0.18181818181818182,0.11515151515151514
1,pilot,A,early,midparietal,0.225,-0.039285714285714285,0.2638888888888889,0.06666666666666665,0.1393939393939394,0.5393939393939393
1,pilot,A,early,parietal,-0.09642857142857143,-0.2928571428571428,0.5958333333333333,-0.4424242424242424,-0.030303030303030297,0.1515151515151515
1,pilot,A,early,visual_streams,-0.15357142857142858,-0.15,0.6666666666666666,-0.2606060606060606,-0.12727272727272726,0.0303030303030303
1,pilot,A,early,dorsal_parietal,0.0035714285714285713,-0.2714285714285714,0.48055555555555557,-0.22424242424242422,0.08484848484848484,0.1515151515151515
1,pilot,A,ventral,early,-0.2714285714285714,-0.11785714285714284,0.7944444444444444,-0.5030303030303029,-0.23030303030303026,0.006060606060606061
1,pilot,A,ventral,ventral,0.3535714285714286,0.10714285714285714,0.14444444444444443,0.12727272727272726,0.31515151515151507,0.6363636363636362
1,pilot,A,ventral,lateral,0.3464285714285714,0.16785714285714282,0.16111111111111112,0.19999999999999998,0.2787878787878788,0.5757575757575757
1,pilot,A,ventral,midparietal,0.30357142857142855,0.1357142857142857,0.18333333333333332,0.12727272727272726,0.2242424242424242,0.7212121212121211
1,pilot,A,ventral,parietal,0.20357142857142857,0.0857142857142857,0.2652777777777778,0.01818181818181818,0.13333333333333333,0.6848484848484848
1,pilot,A,ventral,visual_streams,0.21428571428571427,0.09285714285714285,0.25972222222222224,-0.006060606060606061,0.17575757575757572,0.5878787878787878
1,pilot,A,ventral,dorsal_parietal,0.2892857142857143,0.125,0.19722222222222222,0.05454545454545454,0.22424242424242424,0.6848484848484848
1,pilot,A,lateral,early,-0.275,-0.1964285714285714,0.7916666666666666,-0.406060606060606,-0.29696969696969694,-0.06666666666666665
1,pilot,A,lateral,ventral,0.3142857142857143,-0.3,0.17222222222222222,0.1515151515151515,0.24848484848484848,0.6121212121212121
1,pilot,A,lateral,lateral,0.35,-0.27499999999999997,0.15833333333333333,0.18787878787878787,0.3090909090909091,0.5757575757575757
1,pilot,A,lateral,midparietal,0.18928571428571428,-0.2178571428571428,0.29305555555555557,-0.006060606060606061,0.0909090909090909,0.5393939393939393
1,pilot,A,lateral,parietal,0.24285714285714285,-0.0964285714285714,0.20972222222222223,0.05454545454545454,0.16969696969696968,0.6727272727272726
1,pilot,A,lateral,visual_streams,0.18571428571428572,-0.16785714285714282,0.2791666666666667,0.006060606060606061,0.1393939393939394,0.5030303030303029
1,pilot,A,lateral,dorsal_parietal,0.2642857142857143,-0.07142857142857141,0.20833333333333334,0.04242424242424241,0.24242424242424243,0.5636363636363636
1,pilot,A,midparietal,early,-0.20714285714285716,-0.37857142857142856,0.7319444444444444,-0.6363636363636362,-0.09090909090909091,-0.04242424242424241
1,pilot,A,midparietal,ventral,0.2571428571428571,-0.1357142857142857,0.24166666666666667,0.006060606060606061,0.32121212121212117,0.4666666666666666
1,pilot,A,midparietal,lateral,0.025,0.0,0.46111111111111114,-0.24848484848484845,0.0606060606060606,0.23636363636363633
1,pilot,A,midparietal,midparietal,0.10357142857142858,-0.18928571428571428,0.3875,-0.19999999999999998,0.1212121212121212,0.406060606060606
