subject,phase,stimulus_set,task,roi,rdm_reliability,reliability_method
3,validation,A,imagery,dorsal_parietal,0.035714285714285705,independent imagery runs
3,validation,B,vision,dorsal_parietal,0.07678571428571426,balanced random repeat halves
3,validation,B,imagery,dorsal_parietal,0.04285714285714285,independent imagery runs
4,validation,A,vision,early,0.04821428571428571,balanced random repeat halves
4,validation,A,imagery,early,0.4928571428571427,independent imagery runs
4,validation,B,vision,early,0.017857142857142853,balanced random repeat halves
4,validation,B,imagery,early,0.2321428571428571,independent imagery runs
4,validation,A,vision,ventral,-0.028571428571428564,balanced random repeat halves
4,validation,A,imagery,ventral,0.48214285714285704,independent imagery runs
4,validation,B,vision,ventral,-0.03214285714285714,balanced random repeat halves
4,validation,B,imagery,ventral,0.021428571428571425,independent imagery runs
4,validation,A,vision,lateral,-0.09999999999999998,balanced random repeat halves
4,validation,A,imagery,lateral,0.16785714285714282,independent imagery runs
4,validation,B,vision,lateral,0.14464285714285713,balanced random repeat halves
4,validation,B,imagery,lateral,0.2821428571428571,independent imagery runs
4,validation,A,vision,midparietal,0.06428571428571428,balanced random repeat halves
4,validation,A,imagery,midparietal,0.039285714285714285,independent imagery runs
4,validation,B,vision,midparietal,0.06428571428571428,balanced random repeat halves
4,validation,B,imagery,midparietal,-0.14285714285714282,independent imagery runs
4,validation,A,vision,parietal,0.039285714285714285,balanced random repeat halves
4,validation,A,imagery,parietal,0.1607142857142857,independent imagery runs
4,validation,B,vision,parietal,0.07142857142857142,balanced random repeat halves
4,validation,B,imagery,parietal,0.10357142857142855,independent imagery runs
4,validation,A,vision,visual_streams,-0.01964285714285714,balanced random repeat halves
4,validation,A,imagery,visual_streams,0.6714285714285713,independent imagery runs
4,validation,B,vision,visual_streams,0.08214285714285713,balanced random repeat halves
4,validation,B,imagery,visual_streams,0.25357142857142856,independent imagery runs
4,validation,A,vision,dorsal_parietal,0.01964285714285714,balanced random repeat halves
4,validation,A,imagery,dorsal_parietal,0.3,independent imagery runs
4,validation,B,vision,dorsal_parietal,0.035714285714285705,balanced random repeat halves
4,validation,B,imagery,dorsal_parietal,-0.017857142857142853,independent imagery runs
5,validation,A,vision,early,0.3107142857142856,balanced random repeat halves
5,validation,A,imagery,early,0.4035714285714285,independent imagery runs
5,validation,B,vision,early,0.20535714285714282,balanced random repeat halves
5,validation,B,imagery,early,-0.0857142857142857,independent imagery runs
5,validation,A,vision,ventral,0.09107142857142855,balanced random repeat halves
5,validation,A,imagery,ventral,-0.0964285714285714,independent imagery runs
