subject,phase,roi,task,feature_model,scope,rsa_rho,n_targets
8,heldout,nsdgeneral,vision,HOG images A+B,within_set,0.09482472252875702,12
8,heldout,nsdgeneral,vision,HOG images A+B,between_set,-0.02265122265122265,12
8,heldout,nsdgeneral,vision,HOG images A+B,block_residual,0.2859477264088798,12
8,heldout,nsdgeneral,vision,CLIP images A+B + text C,all,-0.3697613016498465,18
8,heldout,nsdgeneral,vision,CLIP images A+B + text C,within_set,-0.030830039525691695,18
8,heldout,nsdgeneral,vision,CLIP images A+B + text C,between_set,0.019120294949841375,18
8,heldout,nsdgeneral,vision,CLIP images A+B + text C,block_residual,-0.04515164843953233,18
8,heldout,nsdgeneral,imagery,HOG images A+B,all,-0.04845258604792831,12
8,heldout,nsdgeneral,imagery,HOG images A+B,within_set,0.06121314247748399,12
8,heldout,nsdgeneral,imagery,HOG images A+B,between_set,0.07696267696267697,12
8,heldout,nsdgeneral,imagery,HOG images A+B,block_residual,0.2648617717152803,12
8,heldout,nsdgeneral,imagery,CLIP images A+B + text C,all,-0.35914652942516717,18
8,heldout,nsdgeneral,imagery,CLIP images A+B + text C,within_set,0.07180500658761528,18
8,heldout,nsdgeneral,imagery,CLIP images A+B + text C,between_set,-0.012413425171720635,18
8,heldout,nsdgeneral,imagery,CLIP images A+B + text C,block_residual,-0.016883009018044407,18
8,heldout,early_visual,vision,HOG images A+B,all,-0.004717916607855147,12
8,heldout,early_visual,vision,HOG images A+B,within_set,0.05097385319034121,12
8,heldout,early_visual,vision,HOG images A+B,between_set,0.10141570141570141,12
8,heldout,early_visual,vision,HOG images A+B,block_residual,0.24880791165486885,12
8,heldout,early_visual,vision,CLIP images A+B + text C,all,-0.3499122136893034,18
8,heldout,early_visual,vision,CLIP images A+B + text C,within_set,-0.0828722002635046,18
8,heldout,early_visual,vision,CLIP images A+B + text C,between_set,-0.044880772052168776,18
8,heldout,early_visual,vision,CLIP images A+B + text C,block_residual,-0.07895324835056051,18
8,heldout,early_visual,imagery,HOG images A+B,all,-0.10863733640388577,12
8,heldout,early_visual,imagery,HOG images A+B,within_set,-0.02537562997248427,12
8,heldout,early_visual,imagery,HOG images A+B,between_set,0.06537966537966539,12
8,heldout,early_visual,imagery,HOG images A+B,block_residual,0.08299826947188794,12
8,heldout,early_visual,imagery,CLIP images A+B + text C,all,-0.34672912227091784,18
8,heldout,early_visual,imagery,CLIP images A+B + text C,within_set,0.028326745718050064,18
8,heldout,early_visual,imagery,CLIP images A+B + text C,between_set,-0.008402640829975135,18
8,heldout,early_visual,imagery,CLIP images A+B + text C,block_residual,-0.016186910152535865,18
8,heldout,higher_visual,vision,HOG images A+B,all,-0.13483638659352387,12
8,heldout,higher_visual,vision,HOG images A+B,within_set,0.07813022912580683,12
8,heldout,higher_visual,vision,HOG images A+B,between_set,-0.25250965250965257,12
8,heldout,higher_visual,vision,HOG images A+B,block_residual,0.09024578517550398,12
8,heldout,higher_visual,vision,CLIP images A+B + text C,all,-0.39304477771970026,18
8,heldout,higher_visual,vision,CLIP images A+B + text C,within_set,-0.023583662714097495,18
8,heldout,higher_visual,vision,CLIP images A+B + text C,between_set,-0.04625263177951165,18
8,heldout,higher_visual,vision,CLIP images A+B + text C,block_residual,-0.08886572113084874,18
8,heldout,higher_visual,imagery,HOG images A+B,all,-0.04780543819463845,12
8,heldout,higher_visual,imagery,HOG images A+B,within_set,0.12109072548273196,12
8,heldout,higher_visual,imagery,HOG images A+B,between_set,0.16628056628056628,12
8,heldout,higher_visual,imagery,HOG images A+B,block_residual,0.2841528687370736,12
8,heldout,higher_visual,imagery,CLIP images A+B + text C,all,-0.39032742283516275,18
8,heldout,higher_visual,imagery,CLIP images A+B + text C,within_set,0.029512516469038203,18
8,heldout,higher_visual,imagery,CLIP images A+B + text C,between_set,-0.024064706050473006,18
8,heldout,higher_visual,imagery,CLIP images A+B + text C,block_residual,-0.03127254620114025,18
