subject,phase,roi,task,feature_model,scope,rsa_rho,n_targets
2,heldout,early_visual,vision,HOG images A+B,between_set,-0.06126126126126127,12
2,heldout,early_visual,vision,HOG images A+B,block_residual,0.37469393921433586,12
2,heldout,early_visual,vision,CLIP images A+B + text C,all,-0.27299532253092623,18
2,heldout,early_visual,vision,CLIP images A+B + text C,within_set,-0.08274044795783925,18
2,heldout,early_visual,vision,CLIP images A+B + text C,between_set,0.002619871007078415,18
2,heldout,early_visual,vision,CLIP images A+B + text C,block_residual,-0.015249763432378794,18
2,heldout,early_visual,imagery,HOG images A+B,all,-0.1850216588292928,12
2,heldout,early_visual,imagery,HOG images A+B,within_set,-0.08169172105176954,12
2,heldout,early_visual,imagery,HOG images A+B,between_set,0.09292149292149292,12
2,heldout,early_visual,imagery,HOG images A+B,block_residual,-0.03740745968474841,12
2,heldout,early_visual,imagery,CLIP images A+B + text C,all,-0.39831530698403755,18
2,heldout,early_visual,imagery,CLIP images A+B + text C,within_set,-0.024637681159420284,18
2,heldout,early_visual,imagery,CLIP images A+B + text C,between_set,-0.06991721207617632,18
2,heldout,early_visual,imagery,CLIP images A+B + text C,block_residual,-0.10480509026260021,18
2,heldout,higher_visual,vision,HOG images A+B,all,-0.11682062538742216,12
2,heldout,higher_visual,vision,HOG images A+B,within_set,0.12109072548273196,12
2,heldout,higher_visual,vision,HOG images A+B,between_set,-0.21441441441441444,12
2,heldout,higher_visual,vision,HOG images A+B,block_residual,0.12923865212432675,12
2,heldout,higher_visual,vision,CLIP images A+B + text C,all,-0.3545159690670526,18
2,heldout,higher_visual,vision,CLIP images A+B + text C,within_set,-0.01805006587615283,18
2,heldout,higher_visual,vision,CLIP images A+B + text C,between_set,0.03880267131574685,18
2,heldout,higher_visual,vision,CLIP images A+B + text C,block_residual,0.037794280757638514,18
2,heldout,higher_visual,imagery,HOG images A+B,all,-0.14604665747148057,12
2,heldout,higher_visual,imagery,HOG images A+B,within_set,-0.011574848759378791,12
2,heldout,higher_visual,imagery,HOG images A+B,between_set,-0.11737451737451739,12
2,heldout,higher_visual,imagery,HOG images A+B,block_residual,-0.020111967255675066,12
2,heldout,higher_visual,imagery,CLIP images A+B + text C,all,-0.4028989586265127,18
2,heldout,higher_visual,imagery,CLIP images A+B + text C,within_set,0.0461133069828722,18
2,heldout,higher_visual,imagery,CLIP images A+B + text C,between_set,-0.030371450074785405,18
2,heldout,higher_visual,imagery,CLIP images A+B + text C,block_residual,-0.012169136525538972,18
3,heldout,nsdgeneral,vision,HOG images A+B,all,-0.07546578998847947,12
3,heldout,nsdgeneral,vision,HOG images A+B,within_set,0.15715083123310436,12
3,heldout,nsdgeneral,vision,HOG images A+B,between_set,-0.08185328185328186,12
3,heldout,nsdgeneral,vision,HOG images A+B,block_residual,0.16783866748617257,12
3,heldout,nsdgeneral,vision,CLIP images A+B + text C,all,-0.3616494444667818,18
3,heldout,nsdgeneral,vision,CLIP images A+B + text C,within_set,0.01949934123847167,18
3,heldout,nsdgeneral,vision,CLIP images A+B + text C,between_set,0.05442662932159631,18
3,heldout,nsdgeneral,vision,CLIP images A+B + text C,block_residual,0.11031139925441781,18
3,heldout,nsdgeneral,imagery,HOG images A+B,all,-0.2840561561198451,12
3,heldout,nsdgeneral,imagery,HOG images A+B,within_set,-0.1395659648486635,12
3,heldout,nsdgeneral,imagery,HOG images A+B,between_set,-0.0797940797940798,12
3,heldout,nsdgeneral,imagery,HOG images A+B,block_residual,-0.16707785541896752,12
3,heldout,nsdgeneral,imagery,CLIP images A+B + text C,all,-0.3990490933215391,18
3,heldout,nsdgeneral,imagery,CLIP images A+B + text C,within_set,-0.025691699604743077,18
3,heldout,nsdgeneral,imagery,CLIP images A+B + text C,between_set,0.02127335257747673,18
3,heldout,nsdgeneral,imagery,CLIP images A+B + text C,block_residual,0.0032636548929606273,18
3,heldout,early_visual,vision,HOG images A+B,all,0.014759146202449511,12
3,heldout,early_visual,vision,HOG images A+B,within_set,0.21168617634940828,12
3,heldout,early_visual,vision,HOG images A+B,between_set,-0.025740025740025742,12
3,heldout,early_visual,vision,HOG images A+B,block_residual,0.2836884588195234,12
3,heldout,early_visual,vision,CLIP images A+B + text C,all,-0.3182421293876402,18
3,heldout,early_visual,vision,CLIP images A+B + text C,within_set,-0.019104084321475624,18
3,heldout,early_visual,vision,CLIP images A+B + text C,between_set,0.02394085760286566,18
3,heldout,early_visual,vision,CLIP images A+B + text C,block_residual,0.015013408364471648,18
3,heldout,early_visual,imagery,HOG images A+B,all,-0.22652262438865578,12
3,heldout,early_visual,imagery,HOG images A+B,within_set,-0.15804120421459503,12
3,heldout,early_visual,imagery,HOG images A+B,between_set,0.05070785070785071,12
3,heldout,early_visual,imagery,HOG images A+B,block_residual,-0.035985410115300244,12
3,heldout,early_visual,imagery,CLIP images A+B + text C,all,-0.3766267272459222,18
3,heldout,early_visual,imagery,CLIP images A+B + text C,within_set,-0.007246376811594202,18
3,heldout,early_visual,imagery,CLIP images A+B + text C,between_set,0.008335953204340411,18
3,heldout,early_visual,imagery,CLIP images A+B + text C,block_residual,-0.01930334553996071,18
3,heldout,higher_visual,vision,HOG images A+B,all,-0.06118678574169662,12
3,heldout,higher_visual,vision,HOG images A+B,within_set,0.09304397656577566,12
3,heldout,higher_visual,vision,HOG images A+B,between_set,-0.022136422136422137,12
3,heldout,higher_visual,vision,HOG images A+B,block_residual,0.11321993517661363,12
3,heldout,higher_visual,vision,CLIP images A+B + text C,all,-0.403595888116012,18
3,heldout,higher_visual,vision,CLIP images A+B + text C,within_set,0.0150197628458498,18
3,heldout,higher_visual,vision,CLIP images A+B + text C,between_set,0.05967589813941524,18
3,heldout,higher_visual,vision,CLIP images A+B + text C,block_residual,0.09896950758690043,18
3,heldout,higher_visual,imagery,HOG images A+B,all,-0.23430927436533708,12
3,heldout,higher_visual,imagery,HOG images A+B,within_set,-0.021814138046521568,12
3,heldout,higher_visual,imagery,HOG images A+B,between_set,-0.10296010296010297,12
3,heldout,higher_visual,imagery,HOG images A+B,block_residual,-0.0603765993800619,12
3,heldout,higher_visual,imagery,CLIP images A+B + text C,all,-0.4597657244716068,18
3,heldout,higher_visual,imagery,CLIP images A+B + text C,within_set,-0.03649538866930171,18
3,heldout,higher_visual,imagery,CLIP images A+B + text C,between_set,-0.041031943372679035,18
3,heldout,higher_visual,imagery,CLIP images A+B + text C,block_residual,-0.08014354417403396,18
4,heldout,nsdgeneral,vision,HOG images A+B,all,-0.08932727949120432,12
4,heldout,nsdgeneral,vision,HOG images A+B,within_set,-0.019588205592794877,12
4,heldout,nsdgeneral,vision,HOG images A+B,between_set,0.007464607464607464,12
4,heldout,nsdgeneral,vision,HOG images A+B,block_residual,0.11332785049716233,12
4,heldout,nsdgeneral,vision,CLIP images A+B + text C,all,-0.3895601302722045,18
4,heldout,nsdgeneral,vision,CLIP images A+B + text C,within_set,-0.008827404479578391,18
4,heldout,nsdgeneral,vision,CLIP images A+B + text C,between_set,0.037573713643335525,18
4,heldout,nsdgeneral,vision,CLIP images A+B + text C,block_residual,0.055866711202464676,18
4,heldout,nsdgeneral,imagery,HOG images A+B,all,-0.1499295445912198,12
4,heldout,nsdgeneral,imagery,HOG images A+B,within_set,0.13934337160329083,12
4,heldout,nsdgeneral,imagery,HOG images A+B,between_set,0.11119691119691119,12
4,heldout,nsdgeneral,imagery,HOG images A+B,block_residual,0.12641845519252864,12
4,heldout,nsdgeneral,imagery,CLIP images A+B + text C,all,-0.4845033707262809,18
4,heldout,nsdgeneral,imagery,CLIP images A+B + text C,within_set,-0.10158102766798419,18
4,heldout,nsdgeneral,imagery,CLIP images A+B + text C,between_set,0.010889136585784104,18
4,heldout,nsdgeneral,imagery,CLIP images A+B + text C,block_residual,0.032792664279905,18
4,heldout,early_visual,vision,HOG images A+B,all,0.15898961453727792,12
4,heldout,early_visual,vision,HOG images A+B,within_set,0.22793548326161311,12
4,heldout,early_visual,vision,HOG images A+B,between_set,0.23655083655083659,12
4,heldout,early_visual,vision,HOG images A+B,block_residual,0.5337538140823774,12
4,heldout,early_visual,vision,CLIP images A+B + text C,all,-0.32259793869700987,18
4,heldout,early_visual,vision,CLIP images A+B + text C,within_set,-0.12239789196310934,18
4,heldout,early_visual,vision,CLIP images A+B + text C,between_set,-0.0019625215543932852,18
4,heldout,early_visual,vision,CLIP images A+B + text C,block_residual,-0.015934437898442396,18
4,heldout,early_visual,imagery,HOG images A+B,all,-0.12032774923750916,12
4,heldout,early_visual,imagery,HOG images A+B,within_set,0.10061214690844641,12
4,heldout,early_visual,imagery,HOG images A+B,between_set,0.0036036036036036037,12
4,heldout,early_visual,imagery,HOG images A+B,block_residual,0.11872221304477966,12
4,heldout,early_visual,imagery,CLIP images A+B + text C,all,-0.4546024151287309,18
4,heldout,early_visual,imagery,CLIP images A+B + text C,within_set,-0.0818181818181818,18
