subject,phase,roi,task,comparison,scope,rho
4,heldout,early_visual,imagery,run 1/run 2,within_set,-0.051778656126482206
4,heldout,early_visual,imagery,run 1/run 2,between_set,-0.19991997484923832
4,heldout,early_visual,imagery,run 1/run 2,block_residual,-0.23940607080783188
4,heldout,higher_visual,vision,odd/even repetitions,all,0.13248361545575166
4,heldout,higher_visual,vision,odd/even repetitions,within_set,0.3125164690382082
4,heldout,higher_visual,vision,odd/even repetitions,between_set,0.03553497765964541
4,heldout,higher_visual,vision,odd/even repetitions,block_residual,-0.11559502583597357
4,heldout,higher_visual,imagery,run 1/run 2,all,0.42930856553147567
4,heldout,higher_visual,imagery,run 1/run 2,within_set,0.4249011857707509
4,heldout,higher_visual,imagery,run 1/run 2,between_set,0.42096087341735977
4,heldout,higher_visual,imagery,run 1/run 2,block_residual,0.33633192405163
5,heldout,nsdgeneral,vision,odd/even repetitions,all,0.4704408079021081
5,heldout,nsdgeneral,vision,odd/even repetitions,within_set,0.5968379446640315
5,heldout,nsdgeneral,vision,odd/even repetitions,between_set,0.4164356416778607
5,heldout,nsdgeneral,vision,odd/even repetitions,block_residual,0.31145485393949973
5,heldout,nsdgeneral,imagery,run 1/run 2,all,0.11985846970367094
5,heldout,nsdgeneral,imagery,run 1/run 2,within_set,-0.01040843214756258
5,heldout,nsdgeneral,imagery,run 1/run 2,between_set,0.1571827336210428
5,heldout,nsdgeneral,imagery,run 1/run 2,block_residual,0.08933817364243443
5,heldout,early_visual,vision,odd/even repetitions,all,0.4707557664214011
5,heldout,early_visual,vision,odd/even repetitions,within_set,0.553623188405797
5,heldout,early_visual,vision,odd/even repetitions,between_set,0.4352987129288252
5,heldout,early_visual,vision,odd/even repetitions,block_residual,0.3636243334044461
5,heldout,early_visual,imagery,run 1/run 2,all,-0.00135365150845027
5,heldout,early_visual,imagery,run 1/run 2,within_set,-0.11251646903820817
5,heldout,early_visual,imagery,run 1/run 2,between_set,0.0693265502491259
5,heldout,early_visual,imagery,run 1/run 2,block_residual,0.12818434137974355
5,heldout,higher_visual,vision,odd/even repetitions,all,0.39454585662015995
5,heldout,higher_visual,vision,odd/even repetitions,within_set,0.6065876152832674
5,heldout,higher_visual,vision,odd/even repetitions,between_set,0.308039669610449
5,heldout,higher_visual,vision,odd/even repetitions,block_residual,0.27016190783479177
5,heldout,higher_visual,imagery,run 1/run 2,all,0.21424550681516621
5,heldout,higher_visual,imagery,run 1/run 2,within_set,0.08919631093544136
5,heldout,higher_visual,imagery,run 1/run 2,between_set,0.14675088361103966
5,heldout,higher_visual,imagery,run 1/run 2,block_residual,0.0715277752051586
6,heldout,nsdgeneral,vision,odd/even repetitions,all,0.34660514923672814
6,heldout,nsdgeneral,vision,odd/even repetitions,within_set,0.40922266139657437
6,heldout,nsdgeneral,vision,odd/even repetitions,between_set,0.27066601884401764
6,heldout,nsdgeneral,vision,odd/even repetitions,block_residual,0.05247374244883328
6,heldout,nsdgeneral,imagery,run 1/run 2,all,0.09243027354482461
6,heldout,nsdgeneral,imagery,run 1/run 2,within_set,-0.004347826086956521
6,heldout,nsdgeneral,imagery,run 1/run 2,between_set,0.11420732230129468
6,heldout,nsdgeneral,imagery,run 1/run 2,block_residual,0.1829247570438108
6,heldout,early_visual,vision,odd/even repetitions,all,0.22491723962312196
6,heldout,early_visual,vision,odd/even repetitions,within_set,0.18866930171277996
6,heldout,early_visual,vision,odd/even repetitions,between_set,0.23108214962797832
6,heldout,early_visual,vision,odd/even repetitions,block_residual,0.18974792865270682
6,heldout,early_visual,imagery,run 1/run 2,all,0.08568211973784728
6,heldout,early_visual,imagery,run 1/run 2,within_set,-0.06982872200263503
6,heldout,early_visual,imagery,run 1/run 2,between_set,0.14213991063858164
6,heldout,early_visual,imagery,run 1/run 2,block_residual,0.30742164937091454
