task,roi,n_subjects,mean,median,minimum,maximum
imagery,early_visual,7,0.0012838645235384108,0.0018999297375018984,-0.0023741026747437135,0.003522148403465472
imagery,higher_visual,7,-0.0007217458494932835,-0.001173986060153025,-0.003148307639855411,0.0028257995491946554
imagery,nsdgeneral,7,0.0006981631151387455,0.0002772704789229599,-0.0018353624408417903,0.0053105646406981614
vision,early_visual,7,0.07215201659098812,0.0766923343012523,0.01882916779345746,0.10142989937491992
vision,higher_visual,7,-0.007356073213474013,-0.012619189569442017,-0.015699861295056676,0.009773606532986312
vision,nsdgeneral,7,0.03172761510552764,0.032857590687409455,-0.003277618238725053,0.058015043690102186
