subject,phase,roi,pipeline,task,n_voxels,within_mean,between_mean,delta_between_minus_within
1,pilot,nsdgeneral,raw_glmsingle,vision,1200,0.43216298141950504,0.46403835583291936,0.031875374413414315
1,pilot,nsdgeneral,raw_glmsingle,imagery,1200,0.28132068350640005,0.27721481088354183,-0.00410587262285822
1,pilot,nsdgeneral,task_pooled,vision,1200,1.0282427237158773,1.0695344093401906,0.04129168562431329
1,pilot,nsdgeneral,task_pooled,imagery,1200,1.1090493371449581,1.0371720315416821,-0.07187730560327599
1,pilot,nsdgeneral,attention_reference,vision,1200,0.630483600889336,0.6359131006831045,0.0054294997937685
1,pilot,nsdgeneral,attention_reference,imagery,1200,0.2419931196459127,0.2224208457235354,-0.019572273922377287
1,pilot,early_visual,raw_glmsingle,vision,1200,0.4621305089563503,0.4910427173966083,0.02891220844025799
1,pilot,early_visual,raw_glmsingle,imagery,1200,0.2641096090551946,0.2632579925338543,-0.0008516165213403037
1,pilot,early_visual,task_pooled,vision,1200,1.005940388318604,1.0786900464453757,0.0727496581267717
1,pilot,early_visual,task_pooled,imagery,1200,1.0785620717594715,1.0498118165935546,-0.028750255165916894
1,pilot,early_visual,attention_reference,vision,1200,0.589231158781758,0.607988138480004,0.018756979698245968
1,pilot,early_visual,attention_reference,imagery,1200,0.14116023653306659,0.13559796460463674,-0.0055622719284298405
1,pilot,higher_visual,raw_glmsingle,vision,1200,0.7295023308842289,0.6835601263957516,-0.0459422044884773
1,pilot,higher_visual,raw_glmsingle,imagery,1200,0.5574873636782918,0.4989811189977862,-0.05850624468050558
1,pilot,higher_visual,task_pooled,vision,1200,1.088993294315376,1.0444445128926847,-0.04454878142269125
1,pilot,higher_visual,task_pooled,imagery,1200,1.1345349399661295,1.0266139535729375,-0.10792098639319203
1,pilot,higher_visual,attention_reference,vision,1200,0.7098853594486413,0.684525350922944,-0.02536000852569731
1,pilot,higher_visual,attention_reference,imagery,1200,0.43435940700751535,0.3911445485037105,-0.043214858503804854
2,heldout,nsdgeneral,raw_glmsingle,vision,1200,0.5713059076704887,0.6737294006779356,0.10242349300744691
2,heldout,nsdgeneral,raw_glmsingle,imagery,1200,0.49484057536571135,0.4970985026692936,0.0022579273035822633
2,heldout,nsdgeneral,task_pooled,vision,1200,0.9787861000174887,1.0907177830103103,0.11193168299282164
2,heldout,nsdgeneral,task_pooled,imagery,1200,1.0750041811811126,1.051128562667758,-0.023875618513354624
2,heldout,nsdgeneral,attention_reference,vision,1200,0.8224214378179956,0.8593237705717975,0.03690233275380195
2,heldout,nsdgeneral,attention_reference,imagery,1200,0.323642649291896,0.29797110095430035,-0.025671548337595662
2,heldout,early_visual,raw_glmsingle,vision,1200,0.573538958466536,0.6245556493779555,0.05101669091141947
2,heldout,early_visual,raw_glmsingle,imagery,1200,0.42558539284965435,0.41259127728550893,-0.012994115564145425
2,heldout,early_visual,task_pooled,vision,1200,1.0001225584202498,1.0800137228621476,0.07989116444189781
2,heldout,early_visual,task_pooled,imagery,1200,1.0687171054122853,1.0536951247080306,-0.015021980704254645
2,heldout,early_visual,attention_reference,vision,1200,0.8447933642223625,0.8591254195786732,0.014332055356310658
2,heldout,early_visual,attention_reference,imagery,1200,0.20077814830841376,0.18668215380029543,-0.014095994508118326
2,heldout,higher_visual,raw_glmsingle,vision,1200,0.7517750120118373,0.7620724293952925,0.010297417383455243
2,heldout,higher_visual,raw_glmsingle,imagery,1200,0.7114712987167725,0.6436756447680082,-0.0677956539487643
2,heldout,higher_visual,task_pooled,vision,1200,1.040532809025237,1.0646541082492282,0.0241212992239912
2,heldout,higher_visual,task_pooled,imagery,1200,1.1153332210587903,1.034310645420339,-0.08102257563845128
2,heldout,higher_visual,attention_reference,vision,1200,0.8612845561135555,0.8482479731366298,-0.01303658297692567
2,heldout,higher_visual,attention_reference,imagery,1200,0.5181982944881761,0.4645335251145152,-0.05366476937366094
3,heldout,nsdgeneral,raw_glmsingle,vision,1200,0.5518742443065301,0.5920127958126048,0.040138551506074704
3,heldout,nsdgeneral,raw_glmsingle,imagery,1200,0.6818638186431335,0.6597490671513718,-0.022114751491761675
3,heldout,nsdgeneral,task_pooled,vision,1200,1.0675428385069405,1.0516217667478165,-0.01592107175912405
3,heldout,nsdgeneral,task_pooled,imagery,1200,1.0989598328730488,1.0409254645754566,-0.05803436829759212
3,heldout,nsdgeneral,attention_reference,vision,1200,0.7207826903519235,0.6968832603300383,-0.023899430021885215
3,heldout,nsdgeneral,attention_reference,imagery,1200,0.2619640299492014,0.24060069083492228,-0.02136333911427915
3,heldout,early_visual,raw_glmsingle,vision,1200,0.482630437823735,0.5279115815858968,0.0452811437621618
3,heldout,early_visual,raw_glmsingle,imagery,1200,0.5917674743274708,0.5869873326800862,-0.004780141647384606
3,heldout,early_visual,task_pooled,vision,1200,1.0427432450603562,1.0633601991078907,0.020616954047534497
3,heldout,early_visual,task_pooled,imagery,1200,1.0719142998556932,1.0510931347146524,-0.02082116514104082
3,heldout,early_visual,attention_reference,vision,1200,0.7393386192576331,0.7277212657253225,-0.011617353532310637
3,heldout,early_visual,attention_reference,imagery,1200,0.19429069832262147,0.18061448709677486,-0.013676211225846613
3,heldout,higher_visual,raw_glmsingle,vision,1200,0.8266152706908648,0.7465784732090216,-0.08003679748184322
3,heldout,higher_visual,raw_glmsingle,imagery,1200,0.7962587076558966,0.7197716877379585,-0.07648701991793805
3,heldout,higher_visual,task_pooled,vision,1200,1.1199275398460509,1.0311136807490053,-0.08881385909704553
